# Smurf data generated: 2020-11-27_13:01:13

year,total_articles,ungdomsoprør,kvindebevægelse
1750,2330,0,0
1751,3495,0,0
1752,4104,0,0
1753,5256,0,0
1754,5079,0,0
1755,5360,0,0
1756,5389,0,0
1757,5671,0,0
1758,5435,0,0
1759,8721,0,0
1760,9839,0,0
1761,10670,0,0
1762,9933,0,0
1763,12167,0,0
1764,13140,0,0
1765,13052,0,0
1766,12771,0,0
1767,16015,0,0
1768,12178,0,0
1769,14828,0,0
1770,16697,0,0
1771,17203,0,0
1772,15550,0,0
1773,20718,0,0
1774,21246,0,0
1775,22122,0,0
1776,21783,0,0
1777,22870,0,0
1778,21627,0,0
1779,20012,0,0
1780,20449,0,0
1781,19947,0,0
1782,20370,0,0
1783,19765,0,0
1784,21024,0,0
1785,21263,0,0
1786,22505,0,0
1787,22623,0,0
1788,23479,0,0
1789,26752,0,0
1790,27384,0,0
1791,27564,0,0
1792,31187,0,0
1793,27566,0,0
1794,27866,0,0
1795,29733,0,0
1796,29501,0,0
1797,34804,0,0
1798,38654,0,0
1799,36042,0,0
1800,41106,0,0
1801,40159,0,0
1802,44762,0,0
1803,48330,0,0
1804,54202,0,0
1805,52922,0,0
1806,56117,0,0
1807,54383,0,0
1808,56836,0,0
1809,55020,0,0
1810,61219,0,0
1811,64804,0,0
1812,62188,0,0
1813,57351,0,0
1814,56242,0,0
1815,61471,0,0
1816,68480,0,0
1817,71444,0,0
1818,73217,0,0
1819,72636,0,0
1820,74386,0,0
1821,72641,0,0
1822,69551,0,0
1823,70795,0,0
1824,72598,0,0
1825,72513,0,0
1826,75489,0,0
1827,72464,0,0
1828,77040,0,0
1829,83234,0,0
1830,87142,0,0
1831,92587,0,0
1832,95859,0,0
1833,94561,0,0
1834,95392,0,0
1835,100776,0,0
1836,107913,0,0
1837,101883,0,0
1838,102325,0,0
1839,97931,0,0
1840,111141,0,0
1841,114295,0,0
1842,134953,0,0
1843,121856,0,0
1844,111087,0,0
1845,142445,0,0
1846,149953,0,0
1847,160082,0,0
1848,160119,0,0
1849,166075,0,0
1850,172939,0,0
1851,199217,0,0
1852,226865,0,0
1853,224897,0,0
1854,237286,0,0
1855,253060,0,0
1856,270437,0,0
1857,292611,0,0
1858,319745,0,0
1859,317357,0,0
1860,321263,0,0
1861,343568,0,0
1862,355256,0,0
1863,379298,0,0
1864,360761,0,0
1865,398158,0,0
1866,440161,0,0
1867,480894,0,0
1868,527714,0,0
1869,562188,0,0
1870,554975,0,0
1871,592300,0,0
1872,676947,0,0
1873,730898,0,0
1874,830222,0,0
1875,875081,0,0
1876,937750,0,1
1877,991594,0,0
1878,1055554,0,0
1879,1105136,0,0
1880,1168754,0,0
1881,1134664,0,0
1882,1254368,0,0
1883,1384438,0,2
1884,1463039,0,5
1885,1478375,0,4
1886,1489328,0,8
1887,1534135,0,13
1888,1556697,0,10
1889,1698419,0,21
1890,1778578,0,25
1891,1811142,0,49
1892,1904110,0,24
1893,1940234,0,31
1894,1953033,0,12
1895,1995500,0,53
1896,2035689,0,36
1897,2121180,0,14
1898,2233017,0,50
1899,2288244,0,25
1900,2318834,0,25
1901,2297855,0,45
1902,2361371,0,44
1903,2486273,0,27
1904,2606659,0,49
1905,2678359,0,50
1906,2674145,0,106
1907,2672090,0,90
1908,2708499,0,71
1909,2738069,0,117
1910,2707536,0,141
1911,2853709,0,100
1912,2860741,0,148
1913,2941533,0,97
1914,3004588,0,42
1915,3152745,0,58
1916,3447262,0,39
1917,3354131,0,86
1918,3523403,0,18
1919,3751253,0,21
1920,3407236,0,36
1921,3287682,0,41
1922,3404786,0,82
1923,3610424,0,120
1924,3770431,0,149
1925,3757106,0,133
1926,3788988,0,96
1927,3915771,5,92
1928,4046182,9,261
1929,4199916,4,108
1930,4353215,1,96
1931,4281034,1,75
1932,4223684,2,116
1933,4240363,20,59
1934,4511679,1,140
1935,4745456,0,80
1936,4851281,1,142
1937,4806883,1,121
1938,4913238,0,88
1939,4869543,1,151
1940,4369250,1,157
1941,4533277,0,56
1942,4519039,0,19
1943,4423759,0,49
1944,4023953,0,64
1945,3673326,0,35
1946,4153276,0,44
1947,3726545,0,74
1948,3762027,1,41
1949,4290714,0,72
1950,4380895,0,72
1951,4100547,0,40
1952,4262119,0,63
1953,4553504,2,71
1954,4863994,2,67
1955,4899068,0,97
1956,4745172,0,29
1957,4925108,1,50
1958,4868490,5,39
1959,5178983,1,45
1960,5336471,0,45
1961,5356646,2,19
1962,5541489,3,63
1963,5627133,1,58
1964,5876691,0,98
1965,6193752,17,101
1966,6236602,4,80
1967,6260405,135,61
1968,6057371,1677,52
1969,6101193,3440,45
1970,6051094,2383,98
1971,5854077,1783,154
1972,5579678,674,240
1973,5529492,714,186
1974,5330192,330,213
1975,5064624,972,691
1976,5818983,259,484
1977,5427553,573,559
1978,5988594,1237,618
1979,6001413,561,893
1980,5897750,235,736
1981,4453297,400,413
1982,5518498,573,332
1983,5650005,329,330
1984,5973644,343,457
1985,6114932,414,527
1986,6681117,376,284
1987,6747129,288,356
1988,6748730,317,966
1989,6543461,304,134
1990,6673199,302,136
1991,6533670,186,223
1992,6455891,265,221
1993,6260815,290,209
1994,6620597,285,107
1995,6650039,273,258
1996,6587676,277,117
1997,6769356,268,118
1998,6780927,391,167
1999,7039574,239,139
2000,6604325,284,99
2001,6122600,221,119
2002,5783083,222,87
2003,5519910,276,64
2004,5298283,222,55
2005,5054875,244,34
2006,5246328,254,61
2007,4438870,286,78
2008,1839580,83,42
2009,939028,22,8
2010,170673,4,0
2011,160757,5,1
2012,212761,4,1
2013,98701,2,3
2014,0,0,0
2015,0,0,0
2016,0,0,0
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
